  22.20     -1.61407      0.60956     -0.21597      0.41058 
  22.30     -1.63566      0.65062     -0.40945      0.27890 
  22.40     -1.67661      0.67851     -0.75250      0.18743 
  22.50     -1.75186      0.69725     -1.00084      0.29257 
  22.60     -1.85194      0.72651     -0.62570     -0.07375 
  22.70     -1.91451      0.71913     -0.32218      0.05916 
  22.80     -1.94673      0.72505     -0.14164      0.28772 
  22.90     -1.96089      0.75382     -0.10413      0.40273 
  23.00     -1.97130      0.79409     -0.37043      0.50925 
  23.10     -2.00835      0.84502     -0.15686      0.67345 
  23.20     -2.02403      0.91236     -0.50440      0.89169 
  23.30     -2.07447      1.00153     -0.34202      0.96252 
  23.40     -2.10868      1.09779     -0.62892      0.90654 
  23.50     -2.17157      1.18844     -0.21909      0.47412 
  23.60     -2.19348      1.23585     -0.37148      0.15186 
  23.70     -2.23062      1.25104      0.03885      0.22961 
  23.80     -2.22674      1.27400     -0.12596      0.53391 
  23.90     -2.23934      1.32739     -0.21597      0.63121 
  24.00     -2.26093      1.39051     -0.41232      0.30156 
  24.10     -2.30217      1.42067     -0.57206      0.28801 
  24.20     -2.35937      1.44947     -0.20325     -0.04566 
  24.30     -2.37970      1.44490      0.12896     -0.08623 
  24.40     -2.36680      1.43628     -0.20918      0.14090 
  24.50     -2.38772      1.45037     -0.44249      0.49428 
  24.60     -2.43197      1.49980     -0.18455      0.73175 
  24.70     -2.45042      1.57297     -0.39023      0.62497 
  24.80     -2.48945      1.63547     -0.73560      0.75662 
  24.90     -2.56301      1.71113     -0.96100      0.60714 
  25.00     -2.65911      1.77184     -1.01119      0.92800 
  25.10     -2.76022      1.86464     -1.26749      0.64317 
  25.20     -2.88697      1.92896     -1.38143      0.38341 
  25.30     -3.02512      1.96730     -1.51168      0.43827 
  25.40     -3.17628      2.01113     -1.06200      0.73456 
  25.50     -3.28248      2.08458     -1.19155      0.87772 
  25.60     -3.40164      2.17236     -0.95964      0.91137 
  25.70     -3.49760      2.26349     -0.54675      0.78573 
  25.80     -3.55228      2.34207     -0.16575      0.83433 
  25.90     -3.56885      2.42550     -0.41969      0.85651 
  26.00     -3.61082      2.51115     -0.32386      0.71047 
